username,number of submissions,h index,karma
tptacek,426,91,386024
jacquesm,2280,118,227332
ingve,14263,283,190555
danso,4871,235,162226
pseudolus,15798,238,152021
rbanffy,28677,200,147597
tosh,18329,255,142664
Tomte,22221,232,142563
lxm,9622,237,137389
todsacerdoti,10798,252,134184
Animats,185,28,133794
JumpCrisscross,6901,144,131673
patio11,52,33,127492
ColinWright,6537,193,124657
rayiner,58,14,120378
dragonwriter,12,5,115744
zdw,4125,214,110034
ChuckMcM,338,48,106493
luu,5309,200,103885
pjmlp,2399,117,103534
TeMPOraL,86,15,102178
pjc50,81,16,90259
steveklabnik,788,145,88651
jgrahamc,3034,146,87202
anigbrowl,3137,121,86842
coldtea,134,25,84159
jerf,31,11,82639
jseliger,8620,172,81541
walterbell,7111,179,79325
toomuchtodo,846,70,78536
nostrademons,138,23,77038
uptown,3527,183,76336
thunderbong,7380,208,75116
userbinator,279,66,74957
signa11,4663,195,74528
edw519,3818,68,73785
sohkamyung,6565,193,72716
jrockway,24,11,70899
jedberg,221,31,70028
bookofjoe,13421,166,69625
ceejayoz,214,39,69615
WalterBright,22,9,68943
lelf,3528,176,67524
crazygringo,43,11,65871
minimaxir,1155,124,65690
mooreds,12364,176,64508
dnetesn,8504,153,64375
PaulHoule,7863,125,64144
masklinn,32,13,63525
davidw,1014,55,62866
hn_throwaway_99,15,8,62696
jonbaer,13297,160,62566
robin_reala,2511,162,62386
aaronbrethorst,3284,133,62140
stavros,192,47,61751
cperciva,193,63,61178
wglb,3721,150,61157
dredmorbius,2038,103,60466
coloneltcb,2559,160,59590
pmoriarty,2548,140,58518
paxys,18,9,58494
tyingq,16,5,58391
fogus,2380,108,58182
doener,8176,173,57958
adamnemecek,2795,161,57478
wpietri,79,18,57369
gumby,339,82,57049
DanBC,2082,84,56529
mfiguiere,5943,167,56573
wallflower,2865,146,55704
sp332,837,65,54814
Retric,23,6,53454
saagarjha,0,0,53435
lisper,1233,97,53360
bane,2518,96,52765
nkurz,1751,130,52330
derefr,11,6,52205
btilly,264,40,52166
mpweiher,4633,151,49982
LinuxBender,8662,132,49253
brudgers,1445,105,48533
Anon84,5336,136,48505
simonw,239,65,48458
ilamont,3577,125,48084
petercooper,884,95,47994
Brajeshwar,6108,140,47466
bpierre,2515,164,47357
Someone1234,3,3,47266
nostromo,72,15,46607
DiabloD3,4864,137,46583
DoreenMichele,1816,87,45761
onion2k,121,18,45620
feross,5755,159,44838
tzs,149,18,44321
DanielBMarkham,914,54,44262
mmastrac,659,116,44127
Waterluvian,7,3,44106
kibwen,160,35,43946
edward,4955,150,43922
pavel_lishin,725,77,43785
